5A8	Aleknagik / New Airport	US
EDTD	Flugplatz Donaueschingen-Villingen	DE
EDTL	Lahr Airport	DE
EDTY	Adolf Würth Airport	DE
EDUZ	Flugplatz Zerbst	DE
EDVE	Braunschweig-Wolfsburg Airport	DE
EDVK	Kassel-Calden Airport	DE
EDXW	Westerland Sylt Airport	DE
EEEI	Ämari Air Base	EE
EEKA	Kärdla Airport	EE
EEKE	Kuressaare Airport	EE
EEPU	Pärnu Airport	EE
EES	Berenice International Airport / Banas Cape Air Base	EG
EETN	Lennart Meri Tallinn Airport	EE
EETU	Tartu Airport	EE
EFET	Enontekio Airport	FI
EFHA	Halli Airport	FI
EFHK	Helsinki Vantaa Airport	FI
